Gene_ID,Gene_Name,Colon_FoldChange,Colon_pValue,Lung_FoldChange,Lung_pValue,Abs_Colon_FoldChange,Abs_Lung_FoldChange
ENSG00000183421,RIPK4,-1.3,0.166854521415844,-2.8,0.0023608264074592,1.3,2.8
ENSG00000183454,GRIN2A,-0.9,0.466576783571578,-2.5,0.0178771736684746,0.9,2.5
ENSG00000183542,KLRC4,-0.5,0.415715405590522,1.9,0.0163364150876766,0.5,1.9
ENSG00000183655,KLHL25,-1.1,0.103734722114645,-1.5,0.0155155481004026,1.1,1.5
ENSG00000183662,TAFA1,-1.0,0.354402093675915,-3.3,0.0017476705705886,1.0,3.3
ENSG00000183684,ALYREF,0.2,0.83918224579319,1.8,0.0072564842639522,0.2,1.8
ENSG00000183695,MRGPRX2,-2.8,0.0183092935430223,-2.7,0.0384922184102334,2.8,2.7
ENSG00000183765,CHEK2,-0.8,0.191079085978137,2.0,0.0082242041282454,0.8,2.0
ENSG00000183775,KCTD16,0.4,0.758658616989925,-2.5,4.20098348292984e-05,0.4,2.5
ENSG00000183921,SDR42E2,-1.5,0.0737541065542041,-2.3,0.0095143183483157,1.5,2.3
ENSG00000183960,KCNH8,-0.8,0.202688134001612,-2.1,0.0077548986552939,0.8,2.1
ENSG00000184012,TMPRSS2,-0.1,0.920288327258707,-1.6,0.0079300649098567,0.1,1.6
ENSG00000184058,TBX1,-0.7,0.43006386578461,-1.8,0.0279501117626611,0.7,1.8
ENSG00000184100,BRD7P2,-0.3,0.802019130112786,1.8,0.0318600984130622,0.3,1.8
ENSG00000184274,LINC00315,-3.0,0.0019163611128215,-2.3,0.0247631119470628,3.0,2.3
ENSG00000184293,CLECL1,-1.1,0.243154500790915,-1.9,0.0335818718058422,1.1,1.9
ENSG00000184321,OR51J1,-0.2,0.900335525427761,-2.4,0.048381637475336,0.2,2.4
ENSG00000184374,COLEC10,-1.5,0.230029869910861,-2.6,0.0118262353695346,1.5,2.6
ENSG00000184378,ACTRT3,-1.9,0.0274616938545175,-2.7,0.0054009058074502,1.9,2.7
ENSG00000184454,NCMAP,0.3,0.770049052551988,-1.7,0.0391950860040508,0.3,1.7
ENSG00000184564,SLITRK6,-1.1,0.187094433762438,-2.0,0.0061903821981176,1.1,2.0
ENSG00000184575,XPOT,1.6,2.33299120009783e-06,1.7,6.33577666632903e-08,1.6,1.7
ENSG00000184608,FAM167A-AS1,0.1,0.935162393759666,-2.6,0.0190507823944267,0.1,2.6
